Disciplina,Turma,Docente,Tipo,Situação,Horário,Local
ADMINISTRAÇÃO DE SISTEMAS OPERACIONAIS DE REDES,02A,TAREK SAYJARI,REGULAR,ABERTA,TER 08:00-10:00 / SEX 08:00-10:00,SALA 03
ÁLGEBRA LINEAR E GEOMETRIA ANALÍTICA,01A,JOSE LEONARDO ESTEVES DA SILVA,REGULAR,ABERTA,QUI 15:30-17:30 / SEX 15:30-17:30,SALA 02
ANÁLISE DE REGRESSÃO I,01A,HITALO JOSEFERSON BATISTA NASCIMENTO,REGULAR,ABERTA,SEG 15:30-17:30 / QUA 13:30-15:30,SALA 03
ANÁLISE E PROJETO DE SISTEMAS,01A,ANDERSON GONCALVES UCHOA,REGULAR,ABERTA,TER 15:30-17:30 / QUA 15:30-17:30,SALA 07
APRENDIZADO PROFUNDO,01A,JULIO CESAR SANTOS DOS ANJOS,REGULAR,ABERTA,SEG 13:30-15:30 / TER 13:30-15:30,SALA 06
DESENVOLVIMENTO DE JOGOS DIGITAIS,02A,ARTUR DE OLIVEIRA DA ROCHA FRANCO,REGULAR,ABERTA,QUI 08:00-10:00 / SEX 10:00-12:00,SALA 07
DESENVOLVIMENTO DE SISTEMAS,02A,RENATA VIEIRA RIOS,REGULAR,ABERTA,SEG 10:00-12:00 / QUI 08:00-10:00,SALA 02
EMPREENDEDORISMO E INOVAÇÃO EM TIC,02A,RENATA VIEIRA RIOS,REGULAR,ABERTA,SEG 08:00-10:00 / TER 08:00-10:00,SALA 15
ENGENHARIA DE SOFTWARE I,02A,ANDERSON GONCALVES UCHOA,REGULAR,ABERTA,SEG 08:00-10:00 / QUA 10:00-12:00,SALA 06
ENGENHARIA DE SOFTWARE II,02A,ALDISIO GONCALVES MEDEIROS,REGULAR,ABERTA,QUI 08:00-10:00 / SEX 10:00-12:00,SALA 15
ESTRUTURA DE DADOS,01A,TAREK SAYJARI,REGULAR,ABERTA,TER 10:00-12:00 / QUA 08:00-10:00,SALA 02
ESTRUTURAS DE DADOS I,03A,ALDISIO GONCALVES MEDEIROS,REGULAR,ABERTA,QUI 10:00-12:00 / SEX 08:00-10:00,SALA 06
